id,pmid,doi,url,has_summary_results,days_to_publication,days_to_summary,days_reg_to_start,days_reg_to_compl,days_reg_to_publ,is_c_tgov,recruitment_status,is_multicentric,phase,main_sponsor,intervention_type,completion_date,publication_date,enrollment,masking,allocation,start_date,lead_cities,has_publication,has_german_umc_lead,intovalue,is_dupe,has_pmid,has_trn_abstract,has_trn_ft_pmc,has_trn_ft_pdf,has_trn_secondary_id,has_trn_intovalue,has_trn_any,pmcid,has_pubmed,has_queried_pmcid,has_queried_doi,has_ft_pmc,has_ft_pdf,is_resolved,has_reg_pub_link,reference_type
NCT00160966,NA,NA,NA,FALSE,NA,NA,-372,1635,NA,TRUE,Completed,FALSE,Phase 4,Other,Drug,2010-03-01,NA,108,No masking,Randomized,2004-09-01,Giessen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00167596,NA,NA,NA,FALSE,NA,NA,-70,1544,NA,TRUE,Terminated,TRUE,Phase 2/Phase 3,Other,Device,2009-12-01,NA,103,Open Label,Randomized,2005-07-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00170274,NA,NA,NA,FALSE,NA,NA,-1868,3306,NA,TRUE,Completed,TRUE,Phase 4,Industry,Device,2014-10-01,NA,156,Open Label,Randomized,2000-08-01,Lübeck Mannheim,FALSE,TRUE,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00176046,NA,NA,NA,FALSE,NA,NA,-2324,1543,NA,TRUE,Unknown status,FALSE,Phase 4,Other,Drug,2009-12-01,NA,114,Open Label,Randomized,1999-05-01,Heidelberg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00176410,NA,NA,NA,FALSE,NA,NA,-986,1540,NA,TRUE,Unknown status,FALSE,Phase 2,Other,Drug,2009-12-01,NA,100,Double Blind,Randomized,2003-01-01,Leipzig,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00188136,NA,NA,NA,FALSE,NA,NA,-1138,1906,NA,TRUE,Completed,FALSE,Phase 2,Other,Drug,2010-12-01,NA,32,Open Label,Non-Randomized,2002-08-01,Dresden,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00196209,NA,NA,NA,FALSE,NA,NA,-42,1541,NA,TRUE,Unknown status,FALSE,Phase 4,Other,Procedure,2009-12-01,NA,130,Open Label,Randomized,2005-08-01,TU München,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00199004,NA,NA,NA,FALSE,NA,NA,-529,1266,NA,TRUE,Completed,FALSE,Phase 4,Other,Drug,2009-03-01,NA,60,Open Label,Non-Randomized,2004-04-01,Frankfurt,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00199017,NA,NA,NA,FALSE,NA,NA,-529,1266,NA,TRUE,Completed,FALSE,Phase 4,Other,Drug,2009-03-01,NA,75,Open Label,Non-Randomized,2004-04-01,Frankfurt,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00204568,NA,NA,NA,FALSE,NA,NA,-408,2940,NA,TRUE,Unknown status,FALSE,Phase 2,Other,Drug,2013-10-01,NA,117,Open Label,Randomized,2004-08-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00215683,NA,NA,NA,TRUE,NA,376,-231,1503,NA,TRUE,Completed,TRUE,Phase 2/Phase 3,Industry,Drug,2009-11-01,NA,137,Open Label,Non-Randomized,2005-02-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00223041,NA,NA,NA,FALSE,NA,NA,-897,1904,NA,TRUE,Terminated,FALSE,Phase 2/Phase 3,Other,Drug,2010-12-01,NA,200,Open Label,Randomized,2003-04-01,Kiel,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00237978,NA,NA,NA,FALSE,NA,NA,324,1420,NA,TRUE,Unknown status,FALSE,Phase 4,Other,Radiation,2009-09-01,NA,60,Open Label,Randomized,2006-09-01,Dresden,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00268138,NA,NA,NA,FALSE,NA,NA,101,1806,NA,TRUE,Unknown status,TRUE,Phase 4,Other,Drug,2010-12-01,NA,314,Double Blind,Randomized,2006-04-01,Berlin,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00273624,NA,NA,NA,FALSE,NA,NA,-217,1427,NA,TRUE,Terminated,FALSE,Phase 3,Other,Drug,2009-12-01,NA,60,Double Blind,Randomized,2005-06-01,Freiburg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00276978,NA,NA,NA,FALSE,NA,NA,-224,1390,NA,TRUE,Terminated,FALSE,Phase 3,Other,Drug,2009-11-01,NA,20,Open Label,NA,2005-06-01,Freiburg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00278265,NA,NA,NA,FALSE,NA,NA,-229,1415,NA,TRUE,Terminated,TRUE,Phase 2,Other,Drug,2009-12-01,NA,12,Open Label,NA,2005-06-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00290667,NA,NA,NA,FALSE,NA,NA,-739,3552,NA,TRUE,Completed,TRUE,Phase 2,Other,Biological,2015-11-01,NA,586,Open Label,Randomized,2004-02-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00298324,NA,NA,NA,FALSE,NA,NA,184,1706,NA,TRUE,Terminated,TRUE,Phase 3,Other,Drug,2010-11-01,NA,34,Double-Blind,Randomized,2006-09-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00298909,NA,NA,NA,FALSE,NA,NA,-1,1187,NA,TRUE,Completed,FALSE,Phase 4,Other,Behavioral,2009-06-01,NA,48,Open Label,Randomized,2006-03-01,Leipzig,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00319111,NA,NA,NA,TRUE,NA,1149,-115,1071,NA,TRUE,Completed,TRUE,Phase 3,Industry,Drug,2009-04-01,NA,151,Open Label,Non-Randomized,2006-01-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00323661,NA,NA,NA,FALSE,NA,NA,-7,1758,NA,TRUE,Completed,TRUE,Phase 4,Industry,Device,2011-03-01,NA,405,Single Blind,Randomized,2006-05-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00325221,NA,NA,NA,FALSE,NA,NA,82,2335,NA,TRUE,Completed,TRUE,Not given,Industry,Device,2012-10-01,NA,148,Open Label,Randomized,2006-08-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00331721,NA,NA,NA,FALSE,NA,NA,-29,1067,NA,TRUE,Terminated,TRUE,Phase 2,Industry,Drug,2009-05-01,NA,24,Double Blind,Randomized,2006-05-01,Heidelberg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00368264,NA,NA,NA,FALSE,NA,NA,9,1013,NA,TRUE,Terminated,TRUE,Phase 2/Phase 3,Other,Drug,2009-06-01,NA,1,Double Blind,Randomized,2006-09-01,Berlin,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00390702,NA,NA,NA,FALSE,NA,NA,-18,3574,NA,TRUE,Suspended,TRUE,Phase 2/Phase 3,Industry,Device,2016-08-01,NA,338,Open Label,Non-Randomized,2006-10-01,Hamburg,FALSE,TRUE,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00391534,NA,NA,NA,FALSE,NA,NA,-22,1105,NA,TRUE,Terminated,TRUE,Phase 3,Industry,Drug,2009-11-01,NA,100,Open Label,Randomized,2006-10-01,Bonn,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00405873,NA,NA,NA,FALSE,NA,NA,92,1188,NA,TRUE,Terminated,TRUE,Phase 2,Industry,Drug,2010-03-01,NA,73,Open Label,Non-Randomized,2007-03-01,Freiburg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00409799,NA,NA,NA,FALSE,NA,NA,-37,1728,NA,TRUE,Completed,TRUE,Phase 2,Industry,Drug,2011-09-01,NA,208,Open Label,Randomized,2006-11-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00412451,NA,NA,NA,TRUE,NA,1221,-13,1173,NA,TRUE,Completed,TRUE,Phase 2,Industry,Drug,2010-03-01,NA,51,Double Blind,Randomized,2006-12-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00422201,NA,NA,NA,TRUE,NA,494,-42,1906,NA,TRUE,Terminated,TRUE,Phase 2,Industry,Drug,2012-04-01,NA,18,Open Label,NA,2006-12-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00425425,NA,NA,NA,FALSE,NA,NA,-202,3024,NA,TRUE,Unknown status,TRUE,Phase 1/Phase 2,Other,Biological,2015-05-01,NA,43,Open Label,NA,2006-07-01,TU München,FALSE,TRUE,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00433459,NA,NA,NA,FALSE,NA,NA,-38,2154,NA,TRUE,Completed,TRUE,Phase 3,Other,Drug,2013-01-01,NA,2134,Open Label,Randomized,2007-01-01,Halle,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00434616,NA,NA,NA,FALSE,NA,NA,51,1603,NA,TRUE,Unknown status,FALSE,Phase 2/Phase 3,Other,Procedure,2011-07-01,NA,90,Double Blind,Randomized,2007-04-01,Berlin,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00436098,NA,NA,NA,FALSE,NA,NA,-14,1171,NA,TRUE,Unknown status,TRUE,Not given,Other,Behavioral,2010-05-01,NA,60,Open Label,Randomized,2007-02-01,TU München,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00440310,NA,NA,NA,TRUE,NA,1396,-22,1681,NA,TRUE,Completed,TRUE,Phase 3,Industry,Drug,2011-10-01,NA,483,Open Label,Randomized,2007-02-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00445575,NA,NA,NA,FALSE,NA,NA,115,2672,NA,TRUE,Unknown status,TRUE,Phase 2/Phase 3,Other,Drug,2014-07-01,NA,156,Double Blind,Randomized,2007-07-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00447876,NA,NA,NA,FALSE,NA,NA,-620,750,NA,TRUE,Completed,TRUE,Phase 2/Phase 3,Industry,Drug,2009-04-01,NA,40,Double Blind,Randomized,2005-07-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00452192,NA,NA,NA,FALSE,NA,NA,-145,981,NA,TRUE,Completed,FALSE,Phase 3,Other,Drug,2009-12-01,NA,30,Open Label,Non-Randomized,2006-11-01,Erlangen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00457951,NA,NA,NA,TRUE,NA,2308,-5,909,NA,TRUE,Terminated,TRUE,Phase 2,Industry,Drug,2009-10-01,NA,158,Double Blind,Randomized,2007-04-01,Hannover,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00464893,NA,NA,NA,FALSE,NA,NA,-22,2170,NA,TRUE,Completed,TRUE,Phase 2,Industry,Drug,2013-04-01,NA,70,Open Label,Non-Randomized,2007-04-01,Hamburg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00486226,NA,NA,NA,TRUE,NA,38,-12,2363,NA,TRUE,Completed,FALSE,Phase 4,Industry,Device,2013-12-01,NA,109,Open Label,NA,2007-06-01,Würzburg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00495859,NA,NA,NA,FALSE,NA,NA,274,1369,NA,TRUE,Unknown status,FALSE,Not given,Other,Dietary Supplement,2011-04-01,NA,156,Double Blind,Randomized,2008-04-01,Heidelberg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00496067,NA,NA,NA,FALSE,NA,NA,-93,882,NA,TRUE,Terminated,TRUE,Not given,Industry,Device,2009-12-01,NA,91,Open Label,Non-Randomized,2007-04-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00507494,NA,NA,NA,FALSE,NA,NA,-24,769,NA,TRUE,Completed,FALSE,Phase 3,Other,Drug,2009-09-01,NA,NA,Double-Blind,Randomized,2007-07-01,Dresden,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00510588,NA,NA,NA,FALSE,NA,NA,-31,2253,NA,TRUE,Completed,FALSE,Not given,Other,Other,2013-10-01,NA,120,Open Label,Randomized,2007-07-01,Leipzig,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00510705,NA,NA,NA,FALSE,NA,NA,-31,1796,NA,TRUE,Terminated,FALSE,Not given,Other,Other,2012-07-01,NA,29,Open Label,Randomized,2007-07-01,Leipzig,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00510822,NA,NA,NA,FALSE,NA,NA,61,915,NA,TRUE,Completed,TRUE,Phase 2,Industry,Drug,2010-02-01,NA,169,Double Blind,Randomized,2007-10-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00511160,NA,NA,NA,FALSE,NA,NA,-1,1095,NA,TRUE,Terminated,FALSE,Not given,Other,Procedure,2010-08-01,NA,120,Single Blind,Randomized,2007-08-01,Tübingen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00511277,NA,NA,NA,FALSE,NA,NA,-1,1338,NA,TRUE,Completed,FALSE,Phase 4,Other,Drug,2011-04-01,NA,60,Open Label,Non-Randomized,2007-08-01,Berlin Bochum Göttingen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00512980,NA,NA,NA,FALSE,NA,NA,360,2278,NA,TRUE,Terminated,FALSE,Phase 2,Other,Drug,2013-11-01,NA,NA,Single Blind,Randomized,2008-08-01,Köln,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00514423,NA,NA,NA,FALSE,NA,NA,-342,1575,NA,TRUE,Completed,FALSE,Not given,Other,Other,2011-12-01,NA,896,Open Label,Randomized,2006-09-01,TU München,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00525668,NA,NA,NA,FALSE,NA,NA,-3,1885,NA,TRUE,Completed,TRUE,Phase 1/Phase 2,Other,Drug,2012-11-01,NA,120,"Participant, Care Provider, Investigator, Outcomes Assessor",Randomized,2007-09-01,Berlin,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00535847,NA,10.1016/s0168-8278(08)61002-8,http://www.journal-of-hepatology.eu/article/s0168-8278(08)61002-8/fulltext,TRUE,NA,506,6,860,NA,TRUE,Completed,TRUE,Phase 2,Industry,Drug,2010-02-01,NA,117,Open Label,Non-Randomized,2007-10-01,NA,TRUE,FALSE,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00540631,NA,NA,NA,FALSE,NA,NA,-4,1518,NA,TRUE,Completed,FALSE,Phase 3,Industry,Biological,2011-12-01,NA,108,Double Blind,Randomized,2007-10-01,Ulm,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00542828,NA,NA,NA,TRUE,NA,280,-9,630,NA,TRUE,Terminated,TRUE,Phase 2,Industry,Biological,2009-07-01,NA,16,Open Label,Non-Randomized,2007-10-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00544583,NA,NA,NA,FALSE,NA,NA,17,1630,NA,TRUE,Unknown status,FALSE,Phase 2/Phase 3,Other,Procedure,2012-04-01,NA,80,Double Blind,Randomized,2007-11-01,Heidelberg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00545441,NA,NA,NA,TRUE,NA,571,229,1994,NA,TRUE,Completed,TRUE,Not given,Industry,Device,2013-04-01,NA,86,Open Label,Randomized,2008-06-01,Giessen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00546845,NA,NA,NA,FALSE,NA,NA,-46,2419,NA,TRUE,Unknown status,FALSE,Phase 4,Other,Device,2014-06-01,NA,180,Single Blind,Randomized,2007-09-01,Tübingen,FALSE,TRUE,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00546975,NA,NA,NA,FALSE,NA,NA,-17,684,NA,TRUE,Terminated,FALSE,Not given,Other,Dietary Supplement,2009-09-01,NA,NA,Double Blind,Randomized,2007-10-01,Berlin,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00558662,NA,NA,NA,FALSE,NA,NA,-12,1388,NA,TRUE,Completed,TRUE,Not given,Industry,Device,2011-09-01,NA,234,Single Blind,Randomized,2007-11-01,Bochum Bonn Duisburg,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00559286,NA,NA,NA,FALSE,NA,NA,16,413,NA,TRUE,Terminated,FALSE,Phase 4,Other,Drug,2009-01-01,NA,40,Double Blind,Randomized,2007-12-01,Aachen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00560768,NA,NA,NA,FALSE,NA,NA,12,1778,NA,TRUE,Completed,TRUE,Phase 4,Industry,Device,2012-10-01,NA,198,Open Label,Non-Randomized,2007-12-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00561587,NA,NA,NA,FALSE,NA,NA,-19,804,NA,TRUE,Completed,FALSE,Phase 2,Other,Drug,2010-02-01,NA,40,Double Blind,Randomized,2007-11-01,Heidelberg Mannheim Tübingen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00564993,NA,NA,NA,FALSE,NA,NA,-27,1616,NA,TRUE,Terminated,TRUE,Phase 3,Other,Drug,2012-05-01,NA,53,Open Label,Non-Randomized,2007-11-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00569257,NA,NA,NA,FALSE,NA,NA,-5,1303,NA,TRUE,Completed,TRUE,Phase 2,Industry,Drug,2011-07-01,NA,85,Open Label,NA,2007-12-01,Göttingen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00570713,NA,NA,NA,TRUE,NA,737,-6,725,NA,TRUE,Completed,TRUE,Phase 2,Industry,Drug,2009-12-01,NA,155,Double Blind,Randomized,2007-12-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00571753,NA,NA,NA,FALSE,NA,NA,173,1513,NA,TRUE,Terminated,TRUE,Phase 3,Other,Drug,2012-02-01,NA,900,Double Blind,Randomized,2008-06-01,Köln,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00574613,NA,NA,NA,FALSE,NA,NA,-103,993,NA,TRUE,Completed,TRUE,Phase 2,Industry,Drug,2010-09-01,NA,56,Double Blind,Randomized,2007-09-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00578097,NA,NA,NA,FALSE,NA,NA,45,714,NA,TRUE,Terminated,TRUE,Phase 2,Industry,Drug,2009-12-01,NA,81,Double Blind,Randomized,2008-02-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00586794,NA,NA,NA,FALSE,NA,NA,-20,1624,NA,TRUE,Terminated,TRUE,Phase 3,Other,Drug,2012-06-01,NA,24,Double Blind,Randomized,2007-12-01,LMU München TU München,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
