id,registry,is_resolved,iv_version,identification_step,is_dupe,iv_completion,iv_status,iv_interventional,has_german_umc_lead,lead_cities,facility_cities,center_size,main_sponsor,study_type,intervention_type,phase,enrollment,recruitment_status,masking,allocation,is_randomized,is_multicentric,is_prospective,has_summary_results,registration_date,start_date,completion_date,completion_year,primary_completion_date,primary_completion_year,summary_results_date_all,summary_results_date,days_cd_to_summary,days_pcd_to_summary,days_reg_to_start,days_reg_to_cd,days_reg_to_pcd,days_cd_to_publication,days_pcd_to_publication,days_reg_to_publication,doi,pmid,url,publication_date,has_publication,has_pmid,has_pubmed,has_ft_pdf,ft_pdf_doi,ft_pdf_pmid,has_iv_trn_abstract,has_iv_trn_secondary_id,has_iv_trn_ft_pdf,has_reg_pub_link,pmid_link,doi_link,reference_derived,n_crossreg_secondary_id,n_crossreg_abstract,n_crossreg_ft_pdf,n_crossreg_reg,crossreg_trn,crossreg_registry,is_not_iv1_dupe,has_doi,summary_results_date_drks,color,issn,journal,publisher,date,color_green_only,can_archive,archiving_locations,inst_repository,versions,submitted_version,accepted_version,published_version,licenses_required,permission_issuer,embargo,date_embargo_elapsed,is_embargo_elapsed,permission_accepted,permission_published
NCT00151242,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Ulm,Bonn Düsseldorf Freiburg Giessen Göttingen Hamburg Hannover Schleswig-Holstein Mainz TU_München Homburg Tübingen,large,Other,Interventional,Drug,Phase 2/Phase 3,920.0,Completed,None (Open Label),Randomized,True,True,False,False,2005-09-06,2004-07-01,2013-08-01,2013,2011-08-01,2011.0,,,,,-432.0,2886,2155.0,-1701.0,-970.0,1185.0,10.3324/haematol.13378,19059939.0,https://www.ncbi.nlm.nih.gov/pubmed/19059939?dopt=Abstract,2008-12-04,True,True,True,True,True,False,True,True,False,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2009-01-01,gold,,,,,,,,,,,,,,
NCT00151255,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Ulm,Bonn Giessen Göttingen Hamburg Schleswig-Holstein Homburg,large,Other,Interventional,Drug,Phase 3,500.0,Completed,None (Open Label),Non-Randomized,False,True,False,False,2005-09-06,2004-06-01,2011-01-01,2011,2009-06-01,2009.0,,,,,-462.0,1943,1364.0,928.0,1507.0,2871.0,10.1182/blood-2013-05-503847,23863898.0,http://www.bloodjournal.org/content/122/9/1576.long,2013-07-17,True,True,True,True,True,False,True,True,False,True,True,True,True,0.0,0.0,1.0,0,,,True,True,,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2013-08-29,green,,,,,,,,,,,,,,
NCT00163267,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Tübingen,,large,Other,Interventional,Drug,Phase 2/Phase 3,80.0,Completed,Quadruple,Randomized,True,False,True,False,2005-09-08,2005-09-01,2011-04-01,2011,2009-12-01,2009.0,,,,,-7.0,2031,1545.0,914.0,1400.0,2945.0,10.1583/13-4275mr.1,24093324.0,https://www.ncbi.nlm.nih.gov/pubmed/24093324,2013-10-01,True,True,True,True,True,False,False,True,True,True,True,False,True,0.0,0.0,0.0,0,,,True,True,,closed,"1526-6028,1545-1550",Journal of Endovascular Therapy,International Society of Endovascular Specialists,2013-10-01,closed,,,,,,,,,,,,,,
NCT00170326,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Berlin,,large,Industry,Interventional,Device,,108.0,Completed,Single,Randomized,True,True,False,False,2005-09-13,2002-01-01,2009-03-01,2009,2009-03-01,2009.0,,,,,-1351.0,1265,1265.0,822.0,822.0,2087.0,10.1093/eurjhf/hfr041,21613427.0,https://www.ncbi.nlm.nih.gov/pubmed/21613427,2011-06-01,True,True,True,True,True,False,True,True,True,True,True,True,False,0.0,0.0,0.0,0,,,True,True,,green,1388-9842,European Journal of Heart Failure,Wiley,2011-06-01,bronze,,,,,,,,,,,,,,
NCT00170625,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Berlin,,large,Other,Interventional,Drug,Phase 1/Phase 2,28.0,Completed,None (Open Label),,,True,False,True,2005-09-09,2004-06-01,2010-09-01,2010,2010-05-01,2010.0,2016-10-04,2016-10-04,2225.0,2348.0,-465.0,1818,1695.0,-481.0,-358.0,1337.0,10.1016/j.thromres.2009.03.013,19427025.0,https://www.ncbi.nlm.nih.gov/pubmed/19427025?dopt=Abstract,2009-05-08,True,True,True,True,True,False,False,True,True,True,True,True,True,1.0,0.0,1.0,0,,,True,True,,closed,0049-3848,Thrombosis Research,Elsevier BV,2009-11-01,closed,True,['institutional repository'],True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'cc-by-nc-nd'}],journal,12.0,2010-11-01,True,True,False
NCT00180089,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Dresden,,large,Other,Interventional,Drug,Phase 3,242.0,Completed,Double,Randomized,True,False,False,False,2005-09-09,2004-01-01,2010-01-01,2010,2009-03-01,2009.0,,,,,-617.0,1575,1269.0,1790.0,2096.0,3365.0,10.1186/s12876-014-0197-7,25425214.0,https://www.ncbi.nlm.nih.gov/pubmed/25425214,2014-11-26,True,True,True,True,True,False,True,True,True,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,gold,1471-230X,BMC Gastroenterology,Springer Science and Business Media LLC,2014-11-26,gold,,,,,,,,,,,,,,
NCT00180102,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Dresden,,large,Other,Interventional,Drug,Phase 4,600.0,Completed,None (Open Label),Randomized,True,False,False,False,2005-09-12,2003-12-01,2009-11-01,2009,2009-11-01,2009.0,,,,,-651.0,1511,1511.0,1275.0,1275.0,2786.0,10.1200/jco.2012.46.4743,23630210.0,https://www.ncbi.nlm.nih.gov/pubmed/23630210,2013-04-29,True,True,True,True,True,False,False,True,False,True,True,False,True,0.0,0.0,0.0,0,,,True,True,,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-06-10,closed,True,['institutional repository'],True,"['publishedVersion', 'acceptedVersion']",False,True,True,[{'type': 'other-closed'}],publisher,12.0,2014-06-10,True,True,True
NCT00185159,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Hannover,,large,Industry,Interventional,Drug,Phase 3,4449.0,Completed,Double,Randomized,True,False,False,False,2005-09-12,2004-10-01,2009-07-01,2009,2009-07-01,2009.0,,,,,-346.0,1388,1388.0,121.0,121.0,1509.0,10.1007/s00125-009-1577-3,19876613.0,https://www.ncbi.nlm.nih.gov/pubmed/19876613?dopt=Abstract,2009-10-30,True,True,True,True,True,False,True,True,False,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,hybrid,"0012-186X,1432-0428",Diabetologia,Springer Science and Business Media LLC,2009-10-30,hybrid,,,,,,,,,,,,,,
NCT00199082,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Frankfurt,,large,Other,Interventional,Drug,Phase 4,650.0,Completed,None (Open Label),Non-Randomized,False,False,False,False,2005-09-12,2002-07-01,2010-06-01,2010,2010-06-01,2010.0,,,,,-1169.0,1723,1723.0,1612.0,1612.0,3335.0,10.1182/blood-2014-03-563627,25359988.0,http://www.bloodjournal.org/content/124/26/3870.long?sso-checked=true,2014-10-30,True,True,True,True,True,False,True,True,True,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2014-12-18,bronze,,,,,,,,,,,,,,
NCT00202917,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Tübingen,Dresden Hamburg Münster Würzburg,large,Other,Interventional,Drug,Phase 1/Phase 2,61.0,Completed,None (Open Label),,,True,False,False,2005-09-12,2004-02-01,2010-12-01,2010,2009-07-01,2009.0,,,,,-589.0,1906,1388.0,490.0,1008.0,2396.0,10.3324/haematol.2011.059378,22491731.0,https://www.ncbi.nlm.nih.gov/pubmed/22491731,2012-04-04,True,True,True,True,True,False,True,True,True,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2012-04-04,gold,,,,,,,,,,,,,,
NCT00222222,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Mannheim,,small,Other,Interventional,Procedure,,105.0,Completed,None (Open Label),Non-Randomized,False,False,False,False,2005-09-13,2003-03-01,2011-12-01,2011,2011-12-01,2011.0,,,,,-927.0,2270,2270.0,288.0,288.0,2558.0,10.1186/1471-2334-12-217,22973876.0,https://www.ncbi.nlm.nih.gov/pubmed/22973876?dopt=Abstract,2012-09-14,True,True,True,True,True,False,False,True,False,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,gold,1471-2334,BMC Infectious Diseases,Springer Science and Business Media LLC,2012-09-14,gold,,,,,,,,,,,,,,
NCT00232830,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Freiburg,,large,Industry,Interventional,Device,Phase 3,715.0,Completed,Single,Randomized,True,True,False,False,2005-10-04,2003-10-01,2009-04-01,2009,2009-02-01,2009.0,,,,,-734.0,1275,1216.0,-930.0,-871.0,345.0,10.1056/nejmoa062006,16971716.0,http://www.nejm.org/doi/full/10.1056/NEJMoa062006,2006-09-14,True,True,True,True,True,False,True,True,False,True,True,False,False,0.0,0.0,0.0,0,,,True,True,,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2006-09-14,green,,,,,,,,,,,,,,
NCT00256152,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Frankfurt,,large,Industry,Interventional,Device,Phase 4,2580.0,Completed,None (Open Label),Randomized,True,False,False,False,2005-09-10,2004-09-01,2010-06-01,2010,2010-06-01,2010.0,,,,,-374.0,1725,1725.0,590.0,590.0,2315.0,10.1056/nejmoa1105575,22236222.0,http://www.nejm.org/doi/full/10.1056/NEJMoa1105575,2012-01-12,True,True,True,True,True,False,True,True,False,True,True,False,True,0.0,0.0,1.0,0,,,True,True,,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-01-12,green,,,,,,,,,,,,,,
NCT00262119,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Frankfurt,,large,Industry,Interventional,Device,Phase 4,1300.0,Completed,Single,Randomized,True,False,True,True,2005-12-04,2006-02-01,2013-04-01,2013,2012-04-01,2012.0,2014-05-09,2014-05-09,403.0,768.0,59.0,2675,2310.0,389.0,754.0,3064.0,10.1093/eurheartj/ehu165,24771721.0,https://www.ncbi.nlm.nih.gov/pubmed/24771721?dopt=Abstract,2014-04-25,True,True,True,True,True,False,True,True,False,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,green,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2014-04-25,bronze,,,,,,,,,,,,,,
NCT00262119,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Marburg,,large,Industry,Interventional,Device,Phase 4,1300.0,Completed,Single,Randomized,True,False,True,True,2005-12-04,2006-02-01,2013-04-01,2013,2012-04-01,2012.0,2014-05-09,2014-05-09,403.0,768.0,59.0,2675,2310.0,389.0,754.0,3064.0,10.1093/eurheartj/ehu165,24771721.0,https://www.ncbi.nlm.nih.gov/pubmed/24771721?dopt=Abstract,2014-04-25,True,True,True,True,True,False,True,True,False,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,green,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2014-04-25,bronze,,,,,,,,,,,,,,
NCT00263419,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Heidelberg,,large,Other,Interventional,Behavioral,,110.0,Unknown status,None (Open Label),Randomized,True,False,False,False,2005-12-07,2005-01-01,2012-06-01,2012,2012-03-01,2012.0,,,,,-340.0,2368,2276.0,-108.0,-16.0,2260.0,10.2337/dc11-1343,22338101.0,http://care.diabetesjournals.org/content/35/5/945,2012-02-14,True,True,True,True,True,False,False,True,False,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,hybrid,"0149-5992,1935-5548",Diabetes Care,American Diabetes Association,2012-02-14,hybrid,,,,,,,,,,,,,,
NCT00282646,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Frankfurt,,large,Other,Interventional,Procedure,Phase 1/Phase 2,40.0,Completed,Double,Randomized,True,False,False,False,2006-01-25,2005-10-01,2011-03-01,2011,2010-10-01,2010.0,,,,,-116.0,1861,1710.0,-56.0,95.0,1805.0,10.1161/circinterventions.110.958348,21205939.0,http://circinterventions.ahajournals.org/content/4/1/26,2011-01-04,True,True,True,True,True,False,False,True,False,True,True,False,True,0.0,0.0,0.0,1,2005-000968-33,EudraCT,True,True,,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2011-02-01,bronze,,,,,,,,,,,,,,
NCT00284713,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Frankfurt,,large,Other,Interventional,Procedure,Phase 1/Phase 2,30.0,Completed,None (Open Label),Randomized,True,True,False,False,2006-01-31,2004-05-01,2009-01-01,2009,2009-01-01,2009.0,,,,,-640.0,1066,1066.0,1251.0,1251.0,2317.0,10.1016/j.jacc.2012.02.033,22651868.0,http://www.sciencedirect.com/science/article/pii/S156919931000144X?via%3Dihub,2012-06-05,True,True,True,True,True,False,False,True,True,True,True,True,True,1.0,0.0,1.0,0,,,True,True,,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2012-06-01,bronze,,,,,,,,,,,,,,
NCT00293943,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Hamburg,,large,Other,Interventional,Procedure,,232.0,Completed,None (Open Label),Randomized,True,True,True,False,2006-02-17,2006-02-01,2010-08-01,2010,2010-03-01,2010.0,,,,,-16.0,1626,1473.0,1991.0,2144.0,3617.0,10.1161/circep.115.003337,26763226.0,http://circep.ahajournals.org/content/9/1/e003337.long,2016-01-13,True,True,True,True,True,False,True,True,False,True,True,False,True,0.0,0.0,0.0,0,,,True,True,,closed,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2016-01-01,closed,True,['institutional repository'],True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'other-closed'}],publisher,12.0,2017-01-01,True,True,False
NCT00293943,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Münster,,large,Other,Interventional,Procedure,,232.0,Completed,None (Open Label),Randomized,True,True,True,False,2006-02-17,2006-02-01,2010-08-01,2010,2010-03-01,2010.0,,,,,-16.0,1626,1473.0,1991.0,2144.0,3617.0,10.1161/circep.115.003337,26763226.0,http://circep.ahajournals.org/content/9/1/e003337.long,2016-01-13,True,True,True,True,True,False,True,True,False,True,True,False,True,0.0,0.0,0.0,0,,,True,True,,closed,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2016-01-01,closed,True,['institutional repository'],True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'other-closed'}],publisher,12.0,2017-01-01,True,True,False
NCT00298597,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Münster,,large,Other,Interventional,Drug,Phase 2,180.0,Completed,Double,Randomized,True,False,True,False,2006-03-01,2006-03-01,2009-03-01,2009,2009-03-01,2009.0,,,,,0.0,1096,1096.0,743.0,743.0,1839.0,10.1371/journal.pone.0017770,21423758.0,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0017770,2011-03-14,True,True,True,True,True,False,True,True,True,True,True,True,True,0.0,0.0,0.0,1,2005-001113-18,EudraCT,True,True,,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2011-03-14,gold,,,,,,,,,,,,,,
NCT00326989,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Frankfurt,,large,Other,Interventional,Procedure,Phase 1/Phase 2,103.0,Completed,Double,Randomized,True,False,True,False,2006-05-16,2006-05-01,2011-12-01,2011,2011-09-01,2011.0,,,,,-15.0,2025,1934.0,503.0,594.0,2528.0,10.1001/jama.2013.3527,23592107.0,http://jamanetwork.com/journals/jama/fullarticle/1679402,2013-04-17,True,True,True,True,True,False,True,True,False,True,True,True,True,0.0,0.0,0.0,1,2005-005709-50,EudraCT,True,True,,bronze,0098-7484,JAMA,American Medical Association (AMA),2013-04-17,bronze,,,,,,,,,,,,,,
NCT00335543,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Erlangen,Berlin Heidelberg Leipzig Regensburg Tübingen,large,Other,Interventional,Drug,Phase 2,254.0,Completed,None (Open Label),Randomized,True,True,False,False,2006-06-08,2003-06-01,2009-10-01,2009,2009-06-01,2009.0,,,,,-1103.0,1211,1089.0,1820.0,1942.0,3031.0,10.1007/s00066-014-0737-7,25252602.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4289008/,2014-09-25,True,True,True,True,True,False,True,True,True,True,True,True,True,1.0,1.0,3.0,1,,,True,True,,hybrid,"0179-7158,1439-099X",Strahlentherapie und Onkologie,Springer Science and Business Media LLC,2014-09-25,hybrid,,,,,,,,,,,,,,
NCT00351403,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Homburg,Aachen Berlin Erlangen Duisburg Frankfurt Freiburg Hamburg Hannover Heidelberg Schleswig-Holstein Köln Leipzig Mainz LMU_München TU_München Ulm Würzburg,small,Industry,Interventional,Drug,Phase 4,390.0,Completed,None (Open Label),Non-Randomized,False,True,True,False,2006-07-11,2006-07-01,2010-01-01,2010,2010-01-01,2010.0,,,,,-10.0,1270,1270.0,567.0,567.0,1837.0,10.1053/j.gastro.2011.07.019,21784046.0,http://www.sciencedirect.com/science/article/pii/S0016508511009838?via%3Dihub,2011-07-22,True,True,True,True,True,False,False,True,False,True,True,True,True,0.0,0.0,0.0,1,2006-000358-38,EudraCT,True,True,,closed,0016-5085,Gastroenterology,Elsevier BV,2011-11-01,closed,True,['institutional repository'],True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'cc-by-nc-nd'}],journal,12.0,2012-11-01,True,True,False
NCT00355095,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Homburg,Göttingen Hamburg,small,Other,Interventional,Drug,Phase 2,40.0,Completed,Double,Randomized,True,True,True,False,2006-07-20,2006-08-01,2011-07-01,2011,2011-02-01,2011.0,,,,,12.0,1807,1657.0,423.0,573.0,2230.0,10.1002/ana.23573,22926853.0,http://onlinelibrary.wiley.com/doi/10.1002/ana.23573/abstract,2012-08-27,True,True,True,True,True,False,True,True,True,True,True,True,True,0.0,0.0,1.0,0,,,True,True,,closed,0364-5134,Annals of Neurology,Wiley,2012-08-01,closed,True,['institutional repository'],True,['acceptedVersion'],False,True,False,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12.0,2013-08-01,True,True,False
NCT00359918,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Leipzig,,large,Other,Interventional,Drug,Phase 4,162.0,Completed,None (Open Label),Randomized,True,False,True,False,2006-08-01,2006-08-01,2009-08-01,2009,2009-08-01,2009.0,,,,,0.0,1096,1096.0,669.0,669.0,1765.0,10.1016/j.jcin.2011.01.013,21700245.0,https://www.ncbi.nlm.nih.gov/pubmed/21700245?dopt=Abstract,2011-06-01,True,True,True,True,True,False,True,True,False,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,bronze,1936-8798,JACC: Cardiovascular Interventions,Elsevier BV,2011-06-01,bronze,,,,,,,,,,,,,,
