id,registry,lead_cities,has_publication,doi,pmid,url,publication_date,identification_step,publication_type,is_prospective,has_summary_results,summary_results_date,registration_date,start_date,completion_date,completion_year,primary_completion_date,primary_completion_year,days_cd_to_publication,days_pcd_to_publication,days_cd_to_summary,days_pcd_to_summary,days_reg_to_start,days_reg_to_cd,days_reg_to_pcd,days_reg_to_publication,recruitment_status,phase,enrollment,is_multicentric,main_sponsor,allocation,is_randomized,masking,intervention_type,center_size,has_german_umc_lead,facility_cities,iv_version,is_dupe
NCT00088530,ClinicalTrials.gov,NA,TRUE,10.1016/s1470-2045(12)70212-7,22652183,https://www.ncbi.nlm.nih.gov/pubmed/22652183?dopt=Abstract,2012-05-30,Registry linked,journal publication,TRUE,FALSE,NA,2004-07-28,2004-07-01,2010-07-01,2010,2010-02-01,2010,699,849,NA,NA,-27,2164,2014,2863,Completed,Phase 3,140,TRUE,Industry,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Berlin Köln Homburg,1,FALSE
NCT00094497,ClinicalTrials.gov,Würzburg,TRUE,10.1056/nejmoa1200966,22551107,https://www.ncbi.nlm.nih.gov/pubmed/?term=NCT00094497,2012-05-02,Registry linked,journal publication,FALSE,TRUE,2016-09-19,2004-10-19,2004-06-01,2010-12-01,2010,2010-12-01,2010,518,518,2119,2119,-140,2234,2234,2752,Completed,Phase 3,304,TRUE,Other,Randomized,TRUE,Open Label,Drug,small,TRUE,Berlin Düsseldorf Duisburg Hannover Magdeburg LMU_München,1,FALSE
NCT00094653,ClinicalTrials.gov,NA,TRUE,10.1056/nejmoa1003466,20525992,https://www.ncbi.nlm.nih.gov/pubmed/20525992?dopt=Abstract,2010-06-05,Registry linked,journal publication,FALSE,TRUE,2011-04-22,2004-10-21,2004-09-01,2009-10-01,2009,2009-08-01,2009,247,308,568,629,-50,1806,1745,2053,Completed,Phase 3,1783,TRUE,Industry,Randomized,TRUE,Double Blind,Drug,No lead center,FALSE,Berlin Düsseldorf Erlangen Duisburg Heidelberg Jena Mannheim TU_München Tübingen Würzburg,1,FALSE
NCT00095875,ClinicalTrials.gov,NA,TRUE,10.1016/s1470-2045(13)70011-1,23414589,http://www.thelancet.com/journals/lanonc/article/PIIS1470-2045%2813%2970011-1/abstract,2013-02-13,Registry linked,journal publication,FALSE,TRUE,2013-05-15,2004-11-09,2004-08-01,2012-04-01,2012,2012-04-01,2012,318,318,409,409,-100,2700,2700,3018,Completed,Phase 3,145,TRUE,Other,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Frankfurt,1,FALSE
NCT00098137,ClinicalTrials.gov,Hamburg Magdeburg,TRUE,10.1161/circep.111.965178,22157519,https://www.ncbi.nlm.nih.gov/pubmed/22157519,2011-12-07,Registry linked,journal publication,TRUE,FALSE,NA,2004-12-03,2005-01-01,2009-05-01,2009,2009-05-01,2009,950,950,NA,NA,29,1610,1610,2560,Completed,Phase 3,422,NA,Other,Randomized,TRUE,Double Blind,Drug,large,TRUE,NA,1,FALSE
NCT00111345,ClinicalTrials.gov,Hannover Münster,TRUE,10.1182/blood-2013-02-484097,23704089,https://www.ncbi.nlm.nih.gov/pubmed/23704089?dopt=Abstract,2013-05-23,Registry linked,journal publication,FALSE,FALSE,NA,2005-05-19,2004-03-01,2017-03-01,2017,2012-03-01,2012,-1378,448,NA,NA,-444,4304,2478,2926,Unknown status,Phase 2/Phase 3,550,FALSE,Other,Randomized,TRUE,Open Label,Drug,large,TRUE,NA,1,TRUE
NCT00114348,ClinicalTrials.gov,Berlin,TRUE,10.1200/jco.2012.48.5680,23775972,https://www.ncbi.nlm.nih.gov/pubmed/23775972?dopt=Abstract,2013-06-17,Registry linked,journal publication,FALSE,FALSE,NA,2005-06-14,2003-08-01,2012-07-01,2012,2012-07-01,2012,351,351,NA,NA,-683,2574,2574,2925,Completed,Phase 4,338,FALSE,Other,Randomized,TRUE,Open Label,Procedure,large,TRUE,NA,1,FALSE
NCT00115518,ClinicalTrials.gov,Heidelberg,TRUE,10.1002/cncr.25888,21264838,http://onlinelibrary.wiley.com/doi/10.1002/cncr.25888/full,2011-01-24,Registry linked,journal publication,FALSE,FALSE,NA,2005-06-22,2005-05-01,2010-08-01,2010,2009-06-01,2009,176,602,NA,NA,-52,1866,1440,2042,Completed,Phase 2,30,FALSE,Other,Non-Randomized,FALSE,Open Label,Drug,large,TRUE,NA,1,FALSE
NCT00118573,ClinicalTrials.gov,NA,TRUE,10.1016/j.ejvs.2010.08.026,20869890,https://linkinghub.elsevier.com/retrieve/pii/S1078-5884(10)00527-7,2010-09-25,Registry linked,journal publication,FALSE,FALSE,NA,2005-06-30,2004-09-01,2017-09-01,2017,2010-05-01,2010,-2533,147,NA,NA,-302,4446,1766,1913,Terminated,Phase 4,360,TRUE,Other,Randomized,TRUE,Open Label,Procedure,No lead center,FALSE,Köln,1,FALSE
NCT00119717,ClinicalTrials.gov,NA,TRUE,10.1161/strokeaha.110.609933,21566232,NA,2011-05-12,Registry linked,journal publication,FALSE,FALSE,NA,2005-07-07,2005-06-01,2010-07-01,2010,2010-06-01,2010,315,345,NA,NA,-36,1820,1790,2135,Completed,Phase 3,515,TRUE,Industry,Randomized,TRUE,Single Blind,Device,No lead center,FALSE,Erlangen Duisburg Heidelberg Mannheim Witten-Herdecke,1,FALSE
NCT00120406,ClinicalTrials.gov,NA,TRUE,10.1161/circinterventions.111.962324,21953370,https://www.ncbi.nlm.nih.gov/pubmed/21953370?dopt=Abstract,2011-09-27,Registry linked,journal publication,FALSE,TRUE,2014-02-05,2005-07-11,2005-03-01,2014-02-01,2014,2009-10-01,2009,-858,726,4,1588,-132,3127,1543,2269,Completed,Not given,474,TRUE,Industry,Randomized,TRUE,Open Label,Device,No lead center,FALSE,Leipzig Magdeburg,1,FALSE
NCT00122031,ClinicalTrials.gov,Bonn Köln,TRUE,10.3109/15622975.2011.583940,21736514,http://www.tandfonline.com/doi/full/10.3109/15622975.2011.583940,2011-07-08,Registry linked,journal publication,TRUE,FALSE,NA,2005-07-15,2005-07-01,2011-01-01,2011,2009-04-01,2009,188,828,NA,NA,-14,1996,1356,2184,Completed,Phase 1,13,FALSE,Other,Not given,NA,Open Label,Device,large,TRUE,NA,1,FALSE
NCT00133978,ClinicalTrials.gov,NA,TRUE,10.1056/nejmoa1212722,23594003,https://www.ncbi.nlm.nih.gov/pubmed/23594003?dopt=Abstract,2013-04-18,Registry linked,journal publication,FALSE,TRUE,2013-04-29,2005-08-22,2005-04-01,2012-05-01,2012,2011-12-01,2011,352,504,363,515,-143,2444,2292,2796,Completed,Phase 3,1223,TRUE,Other,Randomized,TRUE,Double Blind,Other,No lead center,FALSE,Greifswald Schleswig-Holstein Schleswig-Holstein,1,FALSE
NCT00136188,ClinicalTrials.gov,Erlangen,TRUE,10.2337/db09-1630,21270268,http://diabetes.diabetesjournals.org/content/60/2/572.long,2011-02-01,Registry linked,journal publication,TRUE,FALSE,NA,2005-08-25,2009-08-01,2011-12-01,2011,2011-12-01,2011,-303,-303,NA,NA,1437,2289,2289,1986,Completed,Phase 2/Phase 3,100,FALSE,Other,Not given,NA,Double Blind,Drug,large,TRUE,NA,1,FALSE
NCT00150878,ClinicalTrials.gov,Dresden,TRUE,10.1016/s1470-2045(12)70349-2,22959335,https://www.ncbi.nlm.nih.gov/pubmed/22959335?dopt=Abstract,2012-09-07,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-06,2003-12-01,2010-12-01,2010,2009-12-01,2009,646,1011,NA,NA,-645,1912,1547,2558,Terminated,Phase 3,198,FALSE,Other,Randomized,TRUE,Open Label,Other,large,TRUE,NA,1,FALSE
NCT00151242,ClinicalTrials.gov,Ulm,TRUE,10.3324/haematol.13378,19059939,https://www.ncbi.nlm.nih.gov/pubmed/19059939?dopt=Abstract,2008-12-04,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-06,2004-07-01,2013-08-01,2013,2011-08-01,2011,-1701,-970,NA,NA,-432,2886,2155,1185,Completed,Phase 2/Phase 3,920,TRUE,Other,Randomized,TRUE,Open Label,Drug,large,TRUE,Bonn Düsseldorf Freiburg Giessen Göttingen Hamburg Hannover Schleswig-Holstein Mainz TU_München Homburg Tübingen,1,FALSE
NCT00151255,ClinicalTrials.gov,Ulm,TRUE,10.1182/blood-2013-05-503847,23863898,http://www.bloodjournal.org/content/122/9/1576.long,2013-07-17,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-06,2004-06-01,2011-01-01,2011,2009-06-01,2009,928,1507,NA,NA,-462,1943,1364,2871,Completed,Phase 3,500,TRUE,Other,Non-Randomized,FALSE,Open Label,Drug,large,TRUE,Bonn Giessen Göttingen Hamburg Schleswig-Holstein Homburg,1,FALSE
NCT00163267,ClinicalTrials.gov,Tübingen,TRUE,10.1583/13-4275mr.1,24093324,https://www.ncbi.nlm.nih.gov/pubmed/24093324,2013-10-01,Registry linked,journal publication,TRUE,FALSE,NA,2005-09-08,2005-09-01,2011-04-01,2011,2009-12-01,2009,914,1400,NA,NA,-7,2031,1545,2945,Completed,Phase 2/Phase 3,80,FALSE,Other,Randomized,TRUE,Double Blind,Drug,large,TRUE,NA,1,FALSE
NCT00170326,ClinicalTrials.gov,Berlin,TRUE,10.1093/eurjhf/hfr041,21613427,https://www.ncbi.nlm.nih.gov/pubmed/21613427,2011-06-01,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-13,2002-01-01,2009-03-01,2009,2009-03-01,2009,822,822,NA,NA,-1351,1265,1265,2087,Completed,Phase 4,108,TRUE,Industry,Randomized,TRUE,Open Label,Device,large,TRUE,NA,1,FALSE
NCT00170625,ClinicalTrials.gov,Berlin,TRUE,10.1016/j.thromres.2009.03.013,19427025,https://www.ncbi.nlm.nih.gov/pubmed/19427025?dopt=Abstract,2009-05-08,Registry linked,journal publication,FALSE,TRUE,2016-10-04,2005-09-09,2004-06-01,2010-09-01,2010,2010-05-01,2010,-481,-358,2225,2348,-465,1818,1695,1337,Completed,Phase 1/Phase 2,28,NA,Other,Not given,NA,Open Label,Drug,large,TRUE,NA,1,FALSE
NCT00180089,ClinicalTrials.gov,Dresden,TRUE,10.1186/s12876-014-0197-7,25425214,https://www.ncbi.nlm.nih.gov/pubmed/25425214,2014-11-26,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-09,2004-01-01,2010-01-01,2010,2009-03-01,2009,1790,2096,NA,NA,-617,1575,1269,3365,Completed,Phase 3,242,FALSE,Other,Randomized,TRUE,Double-Blind,Drug,large,TRUE,NA,1,FALSE
NCT00180102,ClinicalTrials.gov,Dresden,TRUE,10.1200/jco.2012.46.4743,23630210,https://www.ncbi.nlm.nih.gov/pubmed/23630210,2013-04-29,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-12,2003-12-01,2009-11-01,2009,2009-11-01,2009,1275,1275,NA,NA,-651,1511,1511,2786,Completed,Phase 4,600,FALSE,Other,Randomized,TRUE,Open Label,Drug,large,TRUE,NA,1,FALSE
NCT00182819,ClinicalTrials.gov,NA,TRUE,10.1016/s1470-2045(16)30313-8,27686946,https://www.ncbi.nlm.nih.gov/pubmed/27686946?dopt=Abstract,2016-09-27,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-15,2005-07-01,2014-05-01,2014,2013-08-01,2013,880,1153,NA,NA,-76,3150,2877,4030,Completed,Phase 3,709,TRUE,Other,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Heidelberg Leipzig Regensburg Tübingen,1,FALSE
NCT00185159,ClinicalTrials.gov,Hannover,TRUE,10.1007/s00125-009-1577-3,19876613,https://www.ncbi.nlm.nih.gov/pubmed/19876613?dopt=Abstract,2009-10-30,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-12,2004-10-01,2009-07-01,2009,2009-07-01,2009,121,121,NA,NA,-346,1388,1388,1509,Completed,Phase 3,4449,FALSE,Industry,Randomized,TRUE,Double Blind,Drug,large,TRUE,NA,1,FALSE
NCT00199082,ClinicalTrials.gov,Frankfurt,TRUE,10.1182/blood-2014-03-563627,25359988,http://www.bloodjournal.org/content/124/26/3870.long?sso-checked=true,2014-10-30,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-12,2002-07-01,2010-06-01,2010,2010-06-01,2010,1612,1612,NA,NA,-1169,1723,1723,3335,Completed,Phase 4,650,FALSE,Other,Non-Randomized,FALSE,Open Label,Drug,large,TRUE,NA,1,FALSE
NCT00202917,ClinicalTrials.gov,Tübingen,TRUE,10.3324/haematol.2011.059378,22491731,https://www.ncbi.nlm.nih.gov/pubmed/22491731,2012-04-04,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-12,2004-02-01,2010-12-01,2010,2009-07-01,2009,490,1008,NA,NA,-589,1906,1388,2396,Completed,Phase 1/Phase 2,61,TRUE,Other,Not given,NA,Open Label,Drug,large,TRUE,Dresden Hamburg Münster Würzburg,1,FALSE
NCT00204529,ClinicalTrials.gov,Tübingen,TRUE,10.1093/annonc/mdw225,27287206,https://www.ncbi.nlm.nih.gov/pubmed/27287206?dopt=Abstract,2016-06-10,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-12,2004-10-01,2015-12-01,2015,2013-05-01,2013,192,1136,NA,NA,-346,3732,2788,3924,Unknown status,Phase 3,880,FALSE,Other,Randomized,TRUE,Open Label,Drug,large,TRUE,NA,1,TRUE
NCT00211237,ClinicalTrials.gov,NA,TRUE,10.1016/s1470-2045(11)70008-0,21333599,https://www.ncbi.nlm.nih.gov/pubmed/21333599,2011-02-16,Registry linked,journal publication,FALSE,TRUE,2010-03-31,2005-09-13,2005-05-01,2009-12-01,2009,2009-04-01,2009,442,686,120,364,-135,1540,1296,1982,Completed,Phase 4,134,TRUE,Industry,Randomized,TRUE,Open Label,Device,No lead center,FALSE,Berlin,1,FALSE
NCT00222222,ClinicalTrials.gov,Mannheim,TRUE,10.1186/1471-2334-12-217,22973876,https://www.ncbi.nlm.nih.gov/pubmed/22973876?dopt=Abstract,2012-09-14,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-13,2003-03-01,2011-12-01,2011,2011-12-01,2011,288,288,NA,NA,-927,2270,2270,2558,Completed,Not given,105,FALSE,Other,Non-Randomized,FALSE,Open Label,Procedure,small,TRUE,NA,1,FALSE
NCT00224770,ClinicalTrials.gov,NA,TRUE,10.1016/s1474-4422(16)30234-4,27751554,NA,2016-10-11,Registry linked,journal publication,FALSE,TRUE,2014-09-21,2005-09-21,2005-08-01,2013-04-01,2013,2012-08-01,2012,1289,1532,538,781,-51,2749,2506,4038,Completed,Phase 2,141,TRUE,Other,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Heidelberg,1,FALSE
NCT00232830,ClinicalTrials.gov,Freiburg,TRUE,10.1056/nejmoa062006,16971716,http://www.nejm.org/doi/full/10.1056/NEJMoa062006,2006-09-14,Registry linked,journal publication,FALSE,FALSE,NA,2005-10-04,2003-10-01,2009-04-01,2009,2009-02-01,2009,-930,-871,NA,NA,-734,1275,1216,345,Completed,Phase 3,715,TRUE,Industry,Randomized,TRUE,Single Blind,Device,large,TRUE,NA,1,FALSE
NCT00251251,ClinicalTrials.gov,NA,TRUE,10.1056/nejmoa1009540,21073365,http://www.nejm.org/doi/full/10.1056/NEJMoa1009540,2010-11-14,Registry linked,journal publication,FALSE,FALSE,NA,2005-11-08,2003-04-01,2011-05-01,2011,2010-09-01,2010,-168,74,NA,NA,-952,2000,1758,1832,Completed,Not given,1798,TRUE,Other,Randomized,TRUE,Double Blind,Device,No lead center,FALSE,Frankfurt Giessen Mainz,1,FALSE
NCT00255112,ClinicalTrials.gov,Bochum,TRUE,10.1159/000323444,21494062,https://www.ncbi.nlm.nih.gov/pubmed/21494062,2011-04-14,Registry linked,journal publication,FALSE,FALSE,NA,2005-11-16,2004-06-01,2009-12-01,2009,2009-12-01,2009,499,499,NA,NA,-533,1476,1476,1975,Completed,Not given,64,FALSE,Other,Randomized,TRUE,Open Label,Behavioral,small,TRUE,NA,1,FALSE
NCT00256152,ClinicalTrials.gov,Frankfurt,TRUE,10.1056/nejmoa1105575,22236222,http://www.nejm.org/doi/full/10.1056/NEJMoa1105575,2012-01-12,Registry linked,journal publication,FALSE,FALSE,NA,2005-09-10,2004-09-01,2010-06-01,2010,2010-06-01,2010,590,590,NA,NA,-374,1725,1725,2315,Completed,Phase 4,2580,FALSE,Industry,Randomized,TRUE,Open Label,Device,large,TRUE,NA,1,FALSE
NCT00261846,ClinicalTrials.gov,NA,TRUE,10.1182/blood-2011-05-355594,21865346,https://www.ncbi.nlm.nih.gov/pubmed/21865346,2011-08-24,Registry linked,journal publication,TRUE,TRUE,2012-10-04,2005-12-02,2006-03-01,2015-07-01,2015,2009-09-01,2009,-1407,722,-1000,1129,89,3498,1369,2091,Completed,Phase 1/Phase 2,571,TRUE,Industry,Not given,NA,Open Label,Drug,No lead center,FALSE,Dresden Hamburg Magdeburg Mainz Mannheim,1,FALSE
NCT00262119,ClinicalTrials.gov,Frankfurt Marburg,TRUE,10.1093/eurheartj/ehu165,24771721,https://www.ncbi.nlm.nih.gov/pubmed/24771721?dopt=Abstract,2014-04-25,Registry linked,journal publication,TRUE,TRUE,2014-05-09,2005-12-04,2006-02-01,2013-04-01,2013,2012-04-01,2012,389,754,403,768,59,2675,2310,3064,Completed,Phase 4,1300,FALSE,Industry,Randomized,TRUE,Single Blind,Device,large,TRUE,NA,1,FALSE
NCT00263419,ClinicalTrials.gov,Heidelberg,TRUE,10.2337/dc11-1343,22338101,http://care.diabetesjournals.org/content/35/5/945,2012-02-14,Registry linked,journal publication,FALSE,FALSE,NA,2005-12-07,2005-01-01,2012-06-01,2012,2012-03-01,2012,-108,-16,NA,NA,-340,2368,2276,2260,Unknown status,Not given,110,FALSE,Other,Randomized,TRUE,Open Label,Behavioral,large,TRUE,NA,1,FALSE
NCT00272948,ClinicalTrials.gov,NA,TRUE,10.1016/s0140-6736(11)61938-7,22364685,http://www.sciencedirect.com/science/article/pii/S0140673611619387?via%3Dihub,2012-02-23,Registry linked,journal publication,FALSE,FALSE,NA,2006-01-04,2005-12-01,2009-07-01,2009,2009-01-01,2009,967,1148,NA,NA,-34,1274,1093,2241,Completed,Phase 2/Phase 3,360,TRUE,Other,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Dresden Frankfurt Hamburg Hannover Heidelberg Schleswig-Holstein Tübingen,1,FALSE
NCT00274651,ClinicalTrials.gov,NA,TRUE,10.1111/bjh.13222,25404094,https://www.ncbi.nlm.nih.gov/pubmed/25404094,2014-11-17,Registry linked,journal publication,TRUE,TRUE,2014-06-30,2006-01-10,2006-01-01,2009-07-01,2009,2009-07-01,2009,1965,1965,1825,1825,-9,1268,1268,3233,Terminated,Phase 2,53,TRUE,Industry,Non-Randomized,FALSE,Open Label,Drug,No lead center,FALSE,Duisburg,1,FALSE
NCT00281515,ClinicalTrials.gov,NA,TRUE,10.1016/j.ygyno.2012.04.050,22564713,https://www.ncbi.nlm.nih.gov/pubmed/22564713?dopt=Abstract,2012-05-04,Registry linked,journal publication,TRUE,FALSE,NA,2006-01-24,2006-01-01,2011-12-01,2011,2011-12-01,2011,155,155,NA,NA,-23,2137,2137,2292,Completed,Phase 2,105,TRUE,Other,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Berlin Dresden Erlangen Duisburg Frankfurt Freiburg Schleswig-Holstein Magdeburg Mainz Marburg LMU_München TU_München Tübingen Ulm,1,FALSE
NCT00282646,ClinicalTrials.gov,Frankfurt,TRUE,10.1161/circinterventions.110.958348,21205939,http://circinterventions.ahajournals.org/content/4/1/26,2011-01-04,Registry linked,journal publication,FALSE,FALSE,NA,2006-01-25,2005-10-01,2011-03-01,2011,2010-10-01,2010,-56,95,NA,NA,-116,1861,1710,1805,Completed,Phase 1/Phase 2,40,FALSE,Other,Randomized,TRUE,Double Blind,Procedure,large,TRUE,NA,1,FALSE
NCT00284713,ClinicalTrials.gov,Frankfurt,TRUE,10.1016/j.jacc.2012.02.033,22651868,http://www.sciencedirect.com/science/article/pii/S156919931000144X?via%3Dihub,2012-06-05,Registry linked,journal publication,FALSE,FALSE,NA,2006-01-31,2004-05-01,2009-01-01,2009,2009-01-01,2009,1251,1251,NA,NA,-640,1066,1066,2317,Completed,Phase 1/Phase 2,30,NA,Other,Randomized,TRUE,Open Label,Procedure,large,TRUE,NA,1,FALSE
NCT00293943,ClinicalTrials.gov,Hamburg Münster,TRUE,10.1161/circep.115.003337,26763226,http://circep.ahajournals.org/content/9/1/e003337.long,2016-01-13,Registry linked,journal publication,TRUE,FALSE,NA,2006-02-17,2006-02-01,2010-08-01,2010,2010-03-01,2010,1991,2144,NA,NA,-16,1626,1473,3617,Completed,Not given,232,TRUE,Other,Randomized,TRUE,Open Label,Procedure,large,TRUE,NA,1,FALSE
NCT00298363,ClinicalTrials.gov,NA,TRUE,10.1002/hep.23952,21254162,https://www.ncbi.nlm.nih.gov/pubmed/21254162?dopt=Abstract,2010-10-27,Registry linked,journal publication,TRUE,TRUE,2012-04-10,2006-02-28,2006-04-01,2011-04-01,2011,2011-04-01,2011,-156,-156,375,375,32,1858,1858,1702,Completed,Phase 2,112,TRUE,Industry,Randomized,TRUE,Double Blind,Drug,No lead center,FALSE,Heidelberg Mainz,1,FALSE
NCT00298597,ClinicalTrials.gov,Münster,TRUE,10.1371/journal.pone.0017770,21423758,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0017770,2011-03-14,Registry linked,journal publication,TRUE,FALSE,NA,2006-03-01,2006-03-01,2009-03-01,2009,2009-03-01,2009,743,743,NA,NA,0,1096,1096,1839,Completed,Phase 2,180,FALSE,Other,Randomized,TRUE,Double-Blind,Drug,large,TRUE,NA,1,FALSE
NCT00303459,ClinicalTrials.gov,NA,TRUE,10.1183/13993003.02044-2014,26113687,http://erj.ersjournals.com/content/46/2/405.long,2015-06-25,Registry linked,journal publication,TRUE,TRUE,2015-01-02,2006-03-16,2006-05-01,2013-12-01,2013,2013-12-01,2013,571,571,397,397,46,2817,2817,3388,Completed,Phase 4,334,TRUE,Industry,Randomized,TRUE,Double Blind,Drug,No lead center,FALSE,Giessen Hannover Heidelberg Marburg Regensburg,1,FALSE
