doi,color_green_only,color,issn,journal,publisher,publication_date_unpaywall
10.3109/15622975.2011.583940,closed,closed,"1562-2975,1814-1412",The World Journal of Biological Psychiatry,Informa UK Limited,2011-07-08
10.1056/nejmoa1212722,bronze,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2013-04-18
10.2337/db09-1630,hybrid,hybrid,"0012-1797,1939-327X",Diabetes,American Diabetes Association,2011-01-21
10.1016/s1470-2045(12)70349-2,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2012-10-01
10.3324/haematol.13378,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2009-01-01
10.1182/blood-2013-05-503847,green,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2013-08-29
10.1583/13-4275mr.1,closed,closed,"1526-6028,1545-1550",Journal of Endovascular Therapy,International Society of Endovascular Specialists,2013-10-01
10.1093/eurjhf/hfr041,bronze,green,"1388-9842,1879-0844",European Journal of Heart Failure,Wiley,2011-06-01
10.1016/j.thromres.2009.03.013,closed,closed,0049-3848,Thrombosis Research,Elsevier BV,2009-11-01
10.1186/s12876-014-0197-7,gold,gold,1471-230X,BMC Gastroenterology,Springer Science and Business Media LLC,2014-11-26
10.1200/jco.2012.46.4743,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-06-10
10.1016/s1470-2045(16)30313-8,green,green,1470-2045,The Lancet Oncology,Elsevier BV,2016-11-01
10.1007/s00125-009-1577-3,hybrid,hybrid,"0012-186X,1432-0428",Diabetologia,Springer Science and Business Media LLC,2009-10-30
10.1182/blood-2014-03-563627,bronze,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2014-12-18
10.3324/haematol.2011.059378,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2012-04-04
10.1093/annonc/mdw225,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2016-08-01
10.1016/s1470-2045(11)70008-0,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2011-03-01
10.1186/1471-2334-12-217,gold,gold,1471-2334,BMC Infectious Diseases,Springer Science and Business Media LLC,2012-09-14
10.1016/s1474-4422(16)30234-4,green,green,1474-4422,The Lancet Neurology,Elsevier BV,2016-11-01
10.1056/nejmoa062006,bronze,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2006-09-14
10.1056/nejmoa1009540,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2010-12-16
10.1159/000323444,closed,closed,"0033-3190,1423-0348",Psychotherapy and Psychosomatics,S. Karger AG,2011-01-01
10.1056/nejmoa1105575,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-01-12
10.1182/blood-2011-05-355594,green,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2011-10-27
10.1093/eurheartj/ehu165,bronze,green,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2014-04-25
10.2337/dc11-1343,hybrid,hybrid,"0149-5992,1935-5548",Diabetes Care,American Diabetes Association,2012-04-11
10.1016/s0140-6736(11)61938-7,closed,closed,0140-6736,The Lancet,Elsevier BV,2012-04-01
10.1111/bjh.13222,closed,closed,0007-1048,British Journal of Haematology,Wiley,2014-11-17
10.1016/j.ygyno.2012.04.050,closed,closed,0090-8258,Gynecologic Oncology,Elsevier BV,2012-08-01
10.1161/circinterventions.110.958348,bronze,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2011-02-01
10.1016/j.jacc.2012.02.033,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2012-06-01
10.1161/circep.115.003337,closed,closed,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2016-01-01
10.1002/hep.23952,closed,closed,0270-9139,Hepatology,Wiley,2010-10-27
10.1371/journal.pone.0017770,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2011-03-14
10.1183/13993003.02044-2014,bronze,bronze,"0903-1936,1399-3003",European Respiratory Journal,European Respiratory Society (ERS),2015-06-25
10.1016/j.ijrobp.2014.04.017,closed,closed,0360-3016,International Journal of Radiation Oncology*Biology*Physics,Elsevier BV,2014-07-01
10.1016/s1470-2045(11)70150-4,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2011-08-01
10.1200/jco.2011.37.9743,green,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2012-07-10
10.1016/j.ijcard.2015.08.080,closed,closed,0167-5273,International Journal of Cardiology,Elsevier BV,2016-01-01
10.1186/1750-1172-7-102,gold,gold,1750-1172,Orphanet Journal of Rare Diseases,Springer Science and Business Media LLC,2012-01-01
10.1016/j.burns.2013.08.013,closed,closed,0305-4179,Burns,Elsevier BV,2014-05-01
10.1167/iovs.09-3972,closed,closed,1552-5783,Investigative Opthalmology &amp; Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2010-07-01
10.1001/jama.2013.3527,closed,closed,0098-7484,JAMA,American Medical Association (AMA),2013-04-17
10.1016/s0140-6736(09)61500-2,closed,closed,0140-6736,The Lancet,Elsevier BV,2009-10-01
10.1016/s0140-6736(12)60813-7,green,green,0140-6736,The Lancet,Elsevier BV,2012-07-01
10.1016/s1470-2045(15)00208-9,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2015-12-01
10.1007/s00066-014-0737-7,hybrid,hybrid,"0179-7158,1439-099X",Strahlentherapie und Onkologie,Springer Science and Business Media LLC,2014-09-25
10.1053/j.gastro.2011.07.019,closed,closed,0016-5085,Gastroenterology,Elsevier BV,2011-11-01
10.1056/nejmoa1316158,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2014-07-17
10.1056/nejmoa1205158,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2013-02-14
10.1002/ana.23573,closed,closed,0364-5134,Annals of Neurology,Wiley,2012-08-01
10.1097/tp.0000000000000965,green,green,0041-1337,Transplantation,Ovid Technologies (Wolters Kluwer Health),2016-01-01
10.1056/nejmoa1214300,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2013-03-07
10.1016/j.jcin.2011.01.013,bronze,bronze,1936-8798,JACC: Cardiovascular Interventions,Elsevier BV,2011-06-01
10.3945/ajcn.115.128520,bronze,bronze,"0002-9165,1938-3207",The American Journal of Clinical Nutrition,Oxford University Press (OUP),2016-04-06
10.1007/s00399-015-0394-2,closed,closed,"0938-7412,1435-1544",Herzschrittmachertherapie + Elektrophysiologie,Springer Science and Business Media LLC,2015-08-28
10.1016/j.jcin.2010.11.016,bronze,bronze,1936-8798,JACC: Cardiovascular Interventions,Elsevier BV,2011-04-01
10.1200/jco.2015.61.8918,green,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2015-12-01
10.1056/nejmoa1109596,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2011-11-24
10.1186/1471-2407-13-75,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2013-02-11
10.1182/blood-2012-03-415307,green,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2012-09-27
10.1016/j.ejca.2012.04.011,hybrid,hybrid,0959-8049,European Journal of Cancer,Elsevier BV,2012-09-01
10.1136/jnnp-2011-301695,closed,closed,"0022-3050,1468-330X","Journal of Neurology, Neurosurgery &amp; Psychiatry",BMJ,2012-04-06
10.1016/s0140-6736(11)60931-8,green,green,0140-6736,The Lancet,Elsevier BV,2011-08-01
10.1016/s0140-6736(13)62302-8,green,green,0140-6736,The Lancet,Elsevier BV,2014-02-01
10.1161/hypertensionaha.110.156976,bronze,bronze,"0194-911X,1524-4563",Hypertension,Ovid Technologies (Wolters Kluwer Health),2010-11-01
10.1186/s12872-016-0464-3,gold,gold,1471-2261,BMC Cardiovascular Disorders,Springer Science and Business Media LLC,2017-01-21
10.1164/rccm.201011-1874oc,closed,closed,"1073-449X,1535-4970",American Journal of Respiratory and Critical Care Medicine,American Thoracic Society,2011-07-01
10.1016/s0140-6736(11)61050-7,closed,closed,0140-6736,The Lancet,Elsevier BV,2011-09-01
10.1001/jama.2014.467,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2014-02-19
10.1016/j.ijrobp.2010.04.032,closed,closed,0360-3016,International Journal of Radiation Oncology*Biology*Physics,Elsevier BV,2011-08-01
10.1371/journal.pmed.1001119,gold,gold,1549-1676,PLoS Medicine,Public Library of Science (PLoS),2011-11-08
10.1093/annonc/mdt270,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2013-10-01
10.3174/ajnr.a3755,hybrid,hybrid,"0195-6108,1936-959X",American Journal of Neuroradiology,American Society of Neuroradiology (ASNR),2013-11-01
10.7326/m14-2062,closed,closed,"0003-4819,1539-3704",Annals of Internal Medicine,American College of Physicians,2015-05-05
10.2215/cjn.05840710,bronze,green,"1555-9041,1555-905X",Clinical Journal of the American Society of Nephrology,American Society of Nephrology (ASN),2010-11-04
10.1053/j.gastro.2010.06.066,closed,closed,0016-5085,Gastroenterology,Elsevier BV,2010-10-01
10.1093/eurheartj/ehr418,bronze,bronze,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2011-11-21
10.1128/aac.05134-11,green,green,"0066-4804,1098-6596",Antimicrobial Agents and Chemotherapy,American Society for Microbiology,2011-12-01
10.1007/s00392-009-0101-6,closed,closed,"1861-0684,1861-0692",Clinical Research in Cardiology,Springer Science and Business Media LLC,2010-01-06
10.1056/nejmoa1112704,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-05-10
10.1080/13506129.2016.1207163,hybrid,hybrid,"1350-6129,1744-2818",Amyloid,Informa UK Limited,2016-07-02
10.1002/art.30613,bronze,green,0004-3591,Arthritis &amp; Rheumatism,Wiley,2011-11-29
10.1186/s12885-016-2513-9,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2016-07-27
10.1016/s0140-6736(15)01159-9,closed,closed,0140-6736,The Lancet,Elsevier BV,2016-02-01
10.1093/annonc/mdq626,hybrid,hybrid,0923-7534,Annals of Oncology,Elsevier BV,2011-07-01
10.1200/jco.2012.46.4057,green,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-04-20
10.3109/10428194.2011.618232,closed,closed,"1042-8194,1029-2403",Leukemia & Lymphoma,Informa UK Limited,2011-11-15
10.1007/s00134-012-2532-1,closed,closed,"0342-4642,1432-1238",Intensive Care Medicine,Springer Science and Business Media LLC,2012-03-29
10.1093/cid/civ587,bronze,green,"1058-4838,1537-6591",Clinical Infectious Diseases,Oxford University Press (OUP),2015-07-22
10.1016/j.clnu.2009.12.010,closed,closed,0261-5614,Clinical Nutrition,Elsevier BV,2010-06-01
10.1016/s1470-2045(09)70074-9,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2009-05-01
10.1056/nejmoa1205511,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-12-20
10.3324/haematol.2011.045229,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2011-11-04
10.1111/j.1747-4949.2011.00719.x,green,green,"1747-4930,1747-4949",International Journal of Stroke,SAGE Publications,2012-01-20
10.1016/j.biopsych.2013.11.030,closed,closed,0006-3223,Biological Psychiatry,Elsevier BV,2014-08-01
10.1111/epi.12926,closed,closed,0013-9580,Epilepsia,Wiley,2015-02-12
10.1136/gutjnl-2012-302759,green,green,"0017-5749,1468-3288",Gut,BMJ,2012-07-07
10.1111/j.1365-2133.2009.09561.x,closed,closed,0007-0963,British Journal of Dermatology,Wiley,2009-10-26
10.1016/j.ophtha.2014.03.016,closed,closed,0161-6420,Ophthalmology,Elsevier BV,2014-09-01
10.1097/sla.0b013e3182a1599b,closed,closed,0003-4932,Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),2013-09-01
10.1016/j.resuscitation.2010.11.006,closed,closed,0300-9572,Resuscitation,Elsevier BV,2011-03-01
10.1002/art.34627,closed,closed,0004-3591,Arthritis &amp; Rheumatism,Wiley,2012-09-28
10.1182/blood-2010-09-308569,closed,closed,"0006-4971,1528-0020",Blood,American Society of Hematology,2011-06-30
10.1093/eurheartj/ehq391,closed,closed,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2010-10-28
10.1186/cc11358,gold,gold,1364-8535,Critical Care,Springer Science and Business Media LLC,2012-01-01
10.1016/j.athoracsur.2011.03.132,closed,closed,0003-4975,The Annals of Thoracic Surgery,Elsevier BV,2011-08-01
10.1161/circep.110.957761,bronze,bronze,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2011-04-01
10.1016/j.jvir.2009.07.038,closed,closed,1051-0443,Journal of Vascular and Interventional Radiology,Elsevier BV,2009-11-01
10.1182/blood-2012-02-407684,closed,closed,"0006-4971,1528-0020",Blood,American Society of Hematology,2012-06-07
10.1002/ccd.25184,closed,closed,1522-1946,Catheterization and Cardiovascular Interventions,Wiley,2013-09-30
10.1161/jaha.116.003905,gold,gold,2047-9980,Journal of the American Heart Association,Ovid Technologies (Wolters Kluwer Health),2016-12-19
10.3233/jad-150376,closed,closed,"1387-2877,1875-8908",Journal of Alzheimer's Disease,IOS Press,2016-04-12
10.1001/jama.2012.304,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2012-03-21
10.1161/circulationaha.111.043042,bronze,bronze,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2011-10-18
10.1200/jco.2012.46.2309,green,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-02-20
10.1161/circinterventions.114.001362,bronze,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2015-05-01
10.1093/annonc/mdu231,bronze,green,0923-7534,Annals of Oncology,Elsevier BV,2014-09-01
10.1371/journal.pone.0012864,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2010-09-22
10.1164/rccm.201303-0427oc,closed,closed,"1073-449X,1535-4970",American Journal of Respiratory and Critical Care Medicine,American Thoracic Society,2013-07-01
10.1186/1471-244x-11-73,gold,gold,1471-244X,BMC Psychiatry,Springer Science and Business Media LLC,2011-04-28
10.1186/1471-2407-11-87,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2011-02-26
10.1016/j.ajo.2011.03.022,closed,closed,0002-9394,American Journal of Ophthalmology,Elsevier BV,2011-10-01
10.1111/dsu.12008,closed,closed,1076-0512,Dermatologic Surgery,Ovid Technologies (Wolters Kluwer Health),2013-01-01
10.1167/iovs.10-6946,closed,closed,1552-5783,Investigative Opthalmology &amp; Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2011-07-30
10.1016/s0140-6736(12)60689-8,closed,closed,0140-6736,The Lancet,Elsevier BV,2012-10-01
10.1200/jco.2012.44.5585,bronze,bronze,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-03-20
10.1186/s12933-014-0137-4,gold,gold,1475-2840,Cardiovascular Diabetology,Springer Science and Business Media LLC,2014-10-11
10.1053/j.gastro.2011.11.032,bronze,bronze,0016-5085,Gastroenterology,Elsevier BV,2012-03-01
10.3109/10428194.2015.1007504,bronze,bronze,"1042-8194,1029-2403",Leukemia &amp; Lymphoma,Informa UK Limited,2015-02-26
10.1016/s0140-6736(12)61769-3,closed,closed,0140-6736,The Lancet,Elsevier BV,2012-11-01
10.1016/j.jpain.2012.01.003,closed,closed,1526-5900,The Journal of Pain,Elsevier BV,2012-05-01
10.1016/j.nmd.2013.10.011,closed,closed,0960-8966,Neuromuscular Disorders,Elsevier BV,2014-02-01
10.1016/j.jcf.2014.02.005,closed,closed,1569-1993,Journal of Cystic Fibrosis,Elsevier BV,2014-07-01
10.1001/jama.2012.5833,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2012-06-13
10.1093/neuonc/not161,bronze,green,"1523-5866,1522-8517",Neuro-Oncology,Oxford University Press (OUP),2013-12-04
10.1159/000333377,green,green,"1421-9794,0009-3157",Chemotherapy,S. Karger AG,2011-01-01
10.1183/09031936.00229014,bronze,bronze,"0903-1936,1399-3003",European Respiratory Journal,European Respiratory Society (ERS),2015-03-18
10.1016/s0140-6736(14)61176-4,closed,closed,0140-6736,The Lancet,Elsevier BV,2014-08-01
10.1007/s00134-012-2787-6,hybrid,hybrid,"0342-4642,1432-1238",Intensive Care Medicine,Springer Science and Business Media LLC,2013-01-10
10.1007/s00280-014-2459-z,closed,closed,"0344-5704,1432-0843",Cancer Chemotherapy and Pharmacology,Springer Science and Business Media LLC,2014-04-09
10.1093/annonc/mds003,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2012-09-01
10.1185/03007990903485148,closed,closed,"0300-7995,1473-4877",Current Medical Research and Opinion,Informa Healthcare,2009-12-14
10.1007/s00421-009-1128-0,closed,closed,"1439-6319,1439-6327",European Journal of Applied Physiology,Springer Science and Business Media LLC,2009-07-18
10.1053/j.gastro.2014.07.004,closed,closed,0016-5085,Gastroenterology,Elsevier BV,2014-10-01
10.1093/bja/aet479,bronze,bronze,0007-0912,British Journal of Anaesthesia,Elsevier BV,2014-05-01
10.1200/jco.2013.54.5392,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2014-12-10
10.1016/s0140-6736(12)61768-1,closed,closed,0140-6736,The Lancet,Elsevier BV,2012-11-01
10.1159/000363430,bronze,green,"1661-3791,1661-3805",Breast Care,S. Karger AG,2014-01-01
10.1007/s00432-011-1005-1,closed,closed,"0171-5216,1432-1335",Journal of Cancer Research and Clinical Oncology,Springer Science and Business Media LLC,2011-07-22
10.1053/j.gastro.2014.12.005,hybrid,hybrid,0016-5085,Gastroenterology,Elsevier BV,2015-04-01
10.5694/j.1326-5377.2010.tb04127.x,green,green,"0025-729X,1326-5377",Medical Journal of Australia,AMPCo,2010-12-01
10.1016/j.joca.2011.07.016,bronze,bronze,1063-4584,Osteoarthritis and Cartilage,Elsevier BV,2011-11-01
10.1056/nejmoa1007964,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2010-11-11
10.1016/s1474-4422(11)70108-9,closed,closed,1474-4422,The Lancet Neurology,Elsevier BV,2011-07-01
10.1089/ham.2014.1117,closed,closed,"1527-0297,1557-8682",High Altitude Medicine &amp; Biology,Mary Ann Liebert Inc,2015-03-01
10.1182/blood-2012-01-400515,closed,closed,"0006-4971,1528-0020",Blood,American Society of Hematology,2012-06-28
10.1016/s1470-2045(11)70397-7,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2012-02-01
10.1371/journal.pone.0026166,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2011-11-08
10.1371/journal.pone.0053081,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2013-01-04
10.1007/s00701-011-1144-9,green,green,"0001-6268,0942-0940",Acta Neurochirurgica,Springer Science and Business Media LLC,2011-09-10
10.1200/jco.2013.55.0095,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2014-10-20
10.1056/nejmoa1304839,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2014-01-23
10.1200/jco.2011.38.7522,green,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2012-10-01
10.3892/ijo.2014.2382,hybrid,hybrid,"1019-6439,1791-2423",International Journal of Oncology,Spandidos Publications,2014-04-11
10.1185/03007995.2014.880674,closed,closed,"0300-7995,1473-4877",Current Medical Research and Opinion,Informa Healthcare,2014-01-30
10.3945/ajcn.110.004374,bronze,bronze,"0002-9165,1938-3207",The American Journal of Clinical Nutrition,Oxford University Press (OUP),2011-06-01
10.1056/nejmoa1014164,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-08-09
10.1016/j.cllc.2013.12.005,closed,closed,1525-7304,Clinical Lung Cancer,Elsevier BV,2014-05-01
10.1161/circulationaha.111.026732,bronze,bronze,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2011-08-02
10.2340/00015555-1434,gold,gold,0001-5555,Acta Dermato Venereologica,Medical Journals Sweden AB,2013-01-01
10.1016/j.jacc.2013.07.044,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2013-12-01
10.1002/ccd.22823,closed,closed,1522-1946,Catheterization and Cardiovascular Interventions,Wiley,2011-03-11
10.1016/j.carrev.2014.02.001,closed,closed,1553-8389,Cardiovascular Revascularization Medicine,Elsevier BV,2014-03-01
10.1182/blood-2009-07-234880,closed,closed,"0006-4971,1528-0020",Blood,American Society of Hematology,2009-12-17
10.1097/sla.0b013e318214ba21,closed,closed,0003-4932,Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),2011-06-01
10.1186/1471-2407-12-587,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2012-12-01
10.1007/s00392-010-0261-4,hybrid,hybrid,"1861-0684,1861-0692",Clinical Research in Cardiology,Springer Science and Business Media LLC,2010-12-04
10.1097/tp.0000000000000779,closed,closed,0041-1337,Transplantation,Ovid Technologies (Wolters Kluwer Health),2015-12-01
10.1002/clc.22132,bronze,green,0160-9289,Clinical Cardiology,Wiley,2013-05-13
10.1016/s0140-6736(10)62297-0,closed,closed,0140-6736,The Lancet,Elsevier BV,2011-03-01
10.7326/0003-4819-158-4-201302190-00002,closed,closed,0003-4819,Annals of Internal Medicine,American College of Physicians,2013-02-19
10.1016/s0140-6736(11)61255-5,closed,closed,0140-6736,The Lancet,Elsevier BV,2011-09-01
10.1016/j.jcmg.2011.12.017,bronze,green,1936-878X,JACC: Cardiovascular Imaging,Elsevier BV,2012-05-01
10.2337/dc13-1391,green,green,"0149-5992,1935-5548",Diabetes Care,American Diabetes Association,2014-04-10
10.1097/brs.0b013e3181d51fca,closed,closed,0362-2436,Spine,Ovid Technologies (Wolters Kluwer Health),2011-03-01
10.1001/jama.2013.4598,closed,closed,0098-7484,JAMA,American Medical Association (AMA),2013-05-08
10.1007/s00702-011-0743-1,closed,closed,"0300-9564,1435-1463",Journal of Neural Transmission,Springer Science and Business Media LLC,2011-12-11
10.1007/s00280-014-2568-8,closed,closed,"0344-5704,1432-0843",Cancer Chemotherapy and Pharmacology,Springer Science and Business Media LLC,2014-08-31
10.1186/s12886-015-0070-7,gold,gold,1471-2415,BMC Ophthalmology,Springer Science and Business Media LLC,2015-07-21
10.1111/cen.12968,closed,closed,0300-0664,Clinical Endocrinology,Wiley,2015-11-25
10.1001/jamaneurol.2016.4467,closed,closed,2168-6149,JAMA Neurology,American Medical Association (AMA),2017-02-01
10.1164/rccm.201109-1666oc,closed,closed,"1073-449X,1535-4970",American Journal of Respiratory and Critical Care Medicine,American Thoracic Society,2012-03-15
10.1007/s12265-013-9512-x,hybrid,hybrid,"1937-5387,1937-5395",Journal of Cardiovascular Translational Research,Springer Science and Business Media LLC,2013-10-08
10.1200/jco.2013.50.5305,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2014-03-10
10.1111/ejh.12825,closed,closed,0902-4441,European Journal of Haematology,Wiley,2016-12-01
10.5665/sleep.1166,bronze,green,1550-9109,Sleep,Oxford University Press (OUP),2011-08-01
10.1001/jama.2013.5555,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2013-05-22
10.1056/nejmoa1302097,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2014-04-10
10.1160/th13-11-0900,closed,closed,"0340-6245,2567-689X",Thrombosis and Haemostasis,Georg Thieme Verlag KG,2014-01-01
10.1016/j.jcin.2015.10.038,bronze,bronze,1936-8798,JACC: Cardiovascular Interventions,Elsevier BV,2016-02-01
10.1056/nejmoa1010331,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2011-10-13
10.1186/s12913-015-0817-0,gold,gold,1472-6963,BMC Health Services Research,Springer Science and Business Media LLC,2015-04-03
10.1007/s00423-012-1009-6,hybrid,hybrid,"1435-2443,1435-2451",Langenbeck's Archives of Surgery,Springer Science and Business Media LLC,2012-10-03
10.1186/s13022-015-0014-1,green,green,1750-1164,Annals of Surgical Innovation and Research,Springer Science and Business Media LLC,2015-09-02
10.1016/s2352-3026(16)30050-3,closed,closed,2352-3026,The Lancet Haematology,Elsevier BV,2016-08-01
10.1016/j.ypmed.2014.10.016,closed,closed,0091-7435,Preventive Medicine,Elsevier BV,2014-12-01
10.1136/annrheumdis-2011-201067,hybrid,hybrid,"0003-4967,1468-2060",Annals of the Rheumatic Diseases,BMJ,2012-05-05
10.1016/j.ijcard.2015.11.180,closed,closed,0167-5273,International Journal of Cardiology,Elsevier BV,2016-02-01
